,name,country,subcountry,geonameid,lat,lng
12753,Ishinomaki,Japan,Miyagi,2112576,38.4344802,141.3029167
12754,Ishikawa,Japan,Fukushima,2112583,37.1570775,140.4467761
12755,Inawashiro,Japan,Fukushima,2112615,37.5577684,140.1047605
12756,Ichinoseki,Japan,Iwate,2112656,38.9346819,141.1268004
12757,Ichihara,Japan,Chiba,2112664,35.4978377,140.1156648
12758,Hobaramachi,Japan,Fukushima,2112692,37.8199686,140.5540146
12759,Hitachi,Japan,Ibaraki,2112708,36.5991289,140.6504583
12760,Higashine,Japan,Yamagata,2112758,38.4313543,140.3910903
12762,Hanamaki,Japan,Iwate,2112823,39.3885784,141.1166454
12763,Furukawa,Japan,Miyagi,2112899,38.5871116,140.9484303
12764,Funehikimachi-funehiki,Japan,Fukushima,2112903,37.4410745,140.5750557
12765,Funaishikawa,Japan,Ibaraki,2112913,36.4707823,140.5615795
12766,Fukushima,Japan,Fukushima,2112923,37.7608337,140.4747281
12767,Fujishiro,Japan,Ibaraki,2112940,35.9231975,140.1085656
12768,Edosaki,Japan,Ibaraki,2112963,35.9581394,140.3212196
12769,Daigo,Japan,Ibaraki,2112989,36.7680962,140.3552657
12770,Chiba,Japan,Chiba,2113015,35.6072668,140.1062907
12771,Asahi,Japan,Chiba,2113077,35.7204338,140.6464692
12772,Ami,Japan,Ibaraki,2113115,36.0307951,140.2147859
12773,Akita,Japan,Akita,2113126,39.7199218,140.1035697
12774,Abiko,Japan,Chiba,2113164,35.8641227,140.0282255
12775,Akitashi,Japan,Akita,2113719,39.7199218,140.1035697
12776,Bihoro,Japan,Hokkaido,2127383,43.8237818,144.1070416
12777,Wakkanai,Japan,Hokkaido,2127515,45.4156641,141.6730822
12778,Tomakomai,Japan,Hokkaido,2127733,42.6343021,141.6053721
12779,Tobetsu,Japan,Hokkaido,2127802,43.2236829,141.5170721
12780,Mutsu,Japan,Aomori,2127878,41.2927457,141.1834755
12781,Takikawa,Japan,Hokkaido,2127896,43.5577948,141.9101895
12782,Takanosu,Japan,Akita,2127910,40.2151861,140.3739254
12783,Sunagawa,Japan,Hokkaido,2127955,43.49484289999999,141.903465
12784,Shizunai-furukawacho,Japan,Hokkaido,2128025,42.3332013,142.3680716
12785,Shiraoi,Japan,Hokkaido,2128072,42.5512597,141.3559547
12787,Shibetsu,Japan,Hokkaido,2128206,44.1787338,142.4004035
12788,Sapporo,Japan,Hokkaido,2128295,43.0620958,141.3543763
12789,Rumoi,Japan,Hokkaido,2128382,43.9409868,141.6370118
12790,Otofuke,Japan,Hokkaido,2128558,42.9941431,143.1979595
12791,Otaru,Japan,Hokkaido,2128574,43.1907173,140.9946622
12792,odate,Japan,Akita,2128787,40.271405,140.5642854
12793,Obihiro,Japan,Hokkaido,2128815,42.9238989,143.1961031
12794,Noshiro,Japan,Akita,2128867,40.21188970000001,140.0269711
12795,Nemuro,Japan,Hokkaido,2128975,43.3300759,145.5827903
12796,Nayoro,Japan,Hokkaido,2128983,44.35593799999999,142.4631673
12797,Nanae,Japan,Hokkaido,2129003,41.8957197,140.6942803
12798,Namioka,Japan,Aomori,2129005,40.7105457,140.5811414
12799,Muroran,Japan,Hokkaido,2129101,42.3152306,140.9737991
12800,Mombetsu,Japan,Hokkaido,2129163,44.3564842,143.3545033
12801,Misawa,Japan,Aomori,2129211,40.6831337,141.3689761
12802,Yoichi,Japan,Hokkaido,2129218,43.1952319,140.7834674
12803,Makubetsu,Japan,Hokkaido,2129324,42.9085896,143.3560966
12804,Kushiro,Japan,Hokkaido,2129376,42.9848542,144.3813556
12805,Kuroishi,Japan,Aomori,2129395,40.6426318,140.5946454
12807,Kitami,Japan,Hokkaido,2129537,43.8040314,143.8958758
12808,Kamiiso,Japan,Hokkaido,2129766,41.73471259999999,140.4453796
12809,Iwanai,Japan,Hokkaido,2129868,42.97978510000001,140.5147528
12810,Iwamizawa,Japan,Hokkaido,2129870,43.1962055,141.7759332
12811,Ishikari,Japan,Hokkaido,2129909,43.1713843,141.3155196
12812,Ichinohe,Japan,Iwate,2129961,40.213011,141.2954747
12813,Kitahiroshima,Japan,Hokkaido,2130054,42.9855157,141.5629871
12814,Hirosaki,Japan,Aomori,2130057,40.6031243,140.4639223
12815,Hanawa,Japan,Akita,2130146,40.2157778,140.7884362
12816,Hakodate,Japan,Hokkaido,2130188,41.7687933,140.7288103
12817,Hachinohe,Japan,Aomori,2130203,40.5122839,141.4883986
12818,Fukagawa,Japan,Hokkaido,2130332,43.7232603,142.0535381
12819,Ebetsu,Japan,Hokkaido,2130404,43.1037445,141.5362468
12820,Date,Japan,Hokkaido,2130421,42.4718507,140.8646785
12821,Chitose,Japan,Hokkaido,2130452,42.8209577,141.650876
12822,Bibai,Japan,Hokkaido,2130534,43.3328813,141.8537848
12823,Ashibetsu,Japan,Hokkaido,2130612,43.51816609999999,142.1894364
12824,Asahikawa,Japan,Hokkaido,2130629,43.7706355,142.364819
12825,Aomorishi,Japan,Aomori,2130658,40.822072,140.7473648
12826,Abashiri,Japan,Hokkaido,2130741,44.0206319,144.2733983
12827,Goshogawara,Japan,Aomori,2131612,40.80800199999999,140.44009
12828,Aso,Japan,Kumamoto,6324583,32.9519535,131.1209554
12829,Nanto-shi,Japan,Toyama,6694821,36.5575131,136.8753356
12830,Kawage,Japan,Mie,6696932,35.0230086,136.6738654
12831,Neyagawa,Japan,osaka,6697563,34.7660929,135.6280998
12832,Hitachi-Naka,Japan,Ibaraki,6822096,36.3966149,140.5346762
12833,Inashiki,Japan,Ibaraki,6822108,35.97294,140.3036454
12834,onojo,Japan,Fukuoka,6822146,33.536307,130.478641
12835,Minokamo,Japan,Gifu,6822217,35.4402422,137.0156644
12836,Gujo,Japan,Gifu,6822219,35.7485771,136.9643543
12837,Joetsu,Japan,Niigata,6825489,37.1478477,138.2360802
12838,Saitama,Japan,Saitama,6940394,35.8617292,139.6454822
12839,Higashimurayama-shi,Japan,Tokyo,7279570,35.7545968,139.4684892
12840,Fujikawaguchiko,Japan,Yamanashi,7281819,35.4973137,138.7550838
12841,Dazaifu,Japan,Fukuoka,7422816,33.5127991,130.5239064
12842,Kamigyo-ku,Japan,Kyoto,8125829,35.0296181,135.756627
12843,Buzen,Japan,Fukuoka,8198709,33.6115108,131.130051
12844,Sendai,Japan,Miyagi,8555918,38.268215,140.8693558
